Year,Private,Out-of-state,In-state
2002,17938,10409,3738
2003,19009,11413,4202
2004,20150,12404,4633
2005,21476,13903,5275
2006,22738,14719,5642
2007,24253,15568,6189
2008,25664,16454,6505
2009,27146,17487,6891
2010,28452,18769,7472
2011,29514,19644,7927
2012,30658,20635,8417
2013,31882,21539,8860
2014,33153,22199,9229
2015,34344,23172,9602
2016,35561,23937,9809
2017,36898,24874,10135
2018,38261,25453,10548
2019,39513,25752,10655
2020,41426,27120,11260
2021,42695,27492,11366
2022,43775,28238,11631
